id_currency, [date], rate
CAD, 31-01-2018, 45.4990
CNY, 31-01-2018, 88.7555
NOK, 31-01-2018, 72.7223
TRY, 31-01-2018, 14.8467
JPY, 31-01-2018, 51.7551
GBP, 01-02-2018, 79.7026
USD, 01-02-2018, 56.1840
EUR, 01-02-2018, 69.9322
CAD, 01-02-2018, 45.7413
CNY, 01-02-2018, 89.3654
NOK, 01-02-2018, 73.0687
TRY, 01-02-2018, 14.9557
JPY, 01-02-2018, 51.6896
GBP, 02-02-2018, 80.1836
USD, 02-02-2018, 56.2613
EUR, 02-02-2018, 69.7921
CAD, 02-02-2018, 45.7000
CNY, 02-02-2018, 89.3817
NOK, 02-02-2018, 73.1759
TRY, 02-02-2018, 14.9679
JPY, 02-02-2018, 51.3591
GBP, 03-02-2018, 79.8357
USD, 03-02-2018, 56.0408
EUR, 03-02-2018, 70.0958
CAD, 03-02-2018, 45.6135
CNY, 03-02-2018, 89.2526
NOK, 03-02-2018, 73.2540
TRY, 03-02-2018, 14.9762
JPY, 03-02-2018, 51.0553
GBP, 04-02-2018, 79.8357
USD, 04-02-2018, 56.0408
EUR, 04-02-2018, 70.0958
CAD, 04-02-2018, 45.6135
CNY, 04-02-2018, 89.2526
NOK, 04-02-2018, 73.2540
TRY, 04-02-2018, 14.9762
JPY, 04-02-2018, 51.0553
GBP, 05-02-2018, 79.8357
USD, 05-02-2018, 56.0408
EUR, 05-02-2018, 70.0958
CAD, 05-02-2018, 45.6135
CNY, 05-02-2018, 89.2526
NOK, 05-02-2018, 73.2540
TRY, 05-02-2018, 14.9762
JPY, 05-02-2018, 51.0553
GBP, 06-02-2018, 79.9301
USD, 06-02-2018, 56.6278
EUR, 06-02-2018, 70.4959
CAD, 06-02-2018, 45.5867
CNY, 06-02-2018, 89.9811
NOK, 06-02-2018, 73.2818
TRY, 06-02-2018, 15.0286
JPY, 06-02-2018, 51.5454
GBP, 07-02-2018, 79.9701
USD, 07-02-2018, 57.2196
EUR, 07-02-2018, 70.9294
CAD, 07-02-2018, 45.6916
CNY, 07-02-2018, 91.1663
NOK, 07-02-2018, 73.2598
TRY, 07-02-2018, 15.1135
JPY, 07-02-2018, 52.3869
GBP, 08-02-2018, 79.3530
USD, 08-02-2018, 56.9533
EUR, 08-02-2018, 70.5310
CAD, 08-02-2018, 45.5189
CNY, 08-02-2018, 90.9739
NOK, 08-02-2018, 72.7280
TRY, 08-02-2018, 15.0910
JPY, 08-02-2018, 52.2483
GBP, 09-02-2018, 79.9241
USD, 09-02-2018, 57.6736
EUR, 09-02-2018, 70.7713
CAD, 09-02-2018, 45.8054
CNY, 09-02-2018, 91.1519
NOK, 09-02-2018, 72.8257
TRY, 09-02-2018, 15.1446
JPY, 09-02-2018, 52.5667
GBP, 10-02-2018, 81.1555
USD, 10-02-2018, 58.1718
EUR, 10-02-2018, 71.3943
CAD, 10-02-2018, 46.1461
CNY, 10-02-2018, 92.3245
NOK, 10-02-2018, 72.9372
TRY, 10-02-2018, 15.2402
JPY, 10-02-2018, 53.2489
GBP, 11-02-2018, 81.1555
USD, 11-02-2018, 58.1718
EUR, 11-02-2018, 71.3943
CAD, 11-02-2018, 46.1461
CNY, 11-02-2018, 92.3245
NOK, 11-02-2018, 72.9372
TRY, 11-02-2018, 15.2402
JPY, 11-02-2018, 53.2489
GBP, 12-02-2018, 81.1555
USD, 12-02-2018, 58.1718
EUR, 12-02-2018, 71.3943
CAD, 12-02-2018, 46.1461
CNY, 12-02-2018, 92.3245
NOK, 12-02-2018, 72.9372
TRY, 12-02-2018, 15.2402
JPY, 12-02-2018, 53.2489
GBP, 13-02-2018, 80.3131
USD, 13-02-2018, 58.0171
EUR, 13-02-2018, 71.2450
CAD, 13-02-2018, 46.1222
CNY, 13-02-2018, 91.6643
NOK, 13-02-2018, 72.9399
TRY, 13-02-2018, 15.2204
JPY, 13-02-2018, 53.4227
GBP, 14-02-2018, 80.0982
USD, 14-02-2018, 57.7701
EUR, 14-02-2018, 71.1670
CAD, 14-02-2018, 45.9368
CNY, 14-02-2018, 91.0812
NOK, 14-02-2018, 73.2593
TRY, 14-02-2018, 15.1975
JPY, 14-02-2018, 53.6822
GBP, 15-02-2018, 79.9578
USD, 15-02-2018, 57.5899
EUR, 15-02-2018, 71.2329
CAD, 15-02-2018, 45.7862
CNY, 15-02-2018, 90.8086
NOK, 15-02-2018, 73.3844
TRY, 15-02-2018, 15.1512
JPY, 15-02-2018, 53.6369
GBP, 16-02-2018, 79.5115
USD, 16-02-2018, 56.5918
EUR, 16-02-2018, 70.6718
CAD, 16-02-2018, 45.3860
CNY, 16-02-2018, 89.1462
NOK, 16-02-2018, 72.9379
TRY, 16-02-2018, 14.9948
JPY, 16-02-2018, 53.1603
GBP, 17-02-2018, 79.6189
USD, 17-02-2018, 56.3554
EUR, 17-02-2018, 70.6471
CAD, 17-02-2018, 45.2291
CNY, 17-02-2018, 88.7738
NOK, 17-02-2018, 72.8991
TRY, 17-02-2018, 14.9949
JPY, 17-02-2018, 53.2207
GBP, 18-02-2018, 79.6189
USD, 18-02-2018, 56.3554
EUR, 18-02-2018, 70.6471
CAD, 18-02-2018, 45.2291
CNY, 18-02-2018, 88.7738
NOK, 18-02-2018, 72.8991
TRY, 18-02-2018, 14.9949
JPY, 18-02-2018, 53.2207
GBP, 19-02-2018, 79.6189
USD, 19-02-2018, 56.3554
EUR, 19-02-2018, 70.6471
CAD, 19-02-2018, 45.2291
CNY, 19-02-2018, 88.7738
NOK, 19-02-2018, 72.8991
TRY, 19-02-2018, 14.9949
JPY, 19-02-2018, 53.2207
GBP, 20-02-2018, 78.9602
USD, 20-02-2018, 56.3438
EUR, 20-02-2018, 69.9001
CAD, 20-02-2018, 44.9062
CNY, 20-02-2018, 88.7556
NOK, 20-02-2018, 72.3944
TRY, 20-02-2018, 15.0294
JPY, 20-02-2018, 52.8628
GBP, 21-02-2018, 78.8851
USD, 21-02-2018, 56.5201
EUR, 21-02-2018, 69.8928
CAD, 21-02-2018, 44.9000
CNY, 21-02-2018, 89.0333
NOK, 21-02-2018, 72.2837
TRY, 21-02-2018, 14.9980
JPY, 21-02-2018, 52.7806
GBP, 22-02-2018, 79.0489
USD, 22-02-2018, 56.6537
EUR, 22-02-2018, 69.8087
CAD, 22-02-2018, 44.7396
CNY, 22-02-2018, 89.2437
NOK, 22-02-2018, 72.1033
TRY, 22-02-2018, 14.9581
JPY, 22-02-2018, 52.6179
GBP, 23-02-2018, 78.8805
USD, 23-02-2018, 56.7608
EUR, 23-02-2018, 69.6341
CAD, 23-02-2018, 44.7041
CNY, 23-02-2018, 89.2325
NOK, 23-02-2018, 71.9065
TRY, 23-02-2018, 14.9414
JPY, 23-02-2018, 52.8819
GBP, 24-02-2018, 78.8805
USD, 24-02-2018, 56.7608
EUR, 24-02-2018, 69.6341
CAD, 24-02-2018, 44.7041
CNY, 24-02-2018, 89.2325
NOK, 24-02-2018, 71.9065
TRY, 24-02-2018, 14.9414
JPY, 24-02-2018, 52.8819
GBP, 25-02-2018, 78.8805
USD, 25-02-2018, 56.7608
EUR, 25-02-2018, 69.6341
CAD, 25-02-2018, 44.7041
CNY, 25-02-2018, 89.2325
NOK, 25-02-2018, 71.9065
TRY, 25-02-2018, 14.9414
JPY, 25-02-2018, 52.8819
GBP, 26-02-2018, 78.8805
USD, 26-02-2018, 56.7608
EUR, 26-02-2018, 69.6341
CAD, 26-02-2018, 44.7041
CNY, 26-02-2018, 89.2325
NOK, 26-02-2018, 71.9065
TRY, 26-02-2018, 14.9414
